1246	35
1286	36
1407	39
1414	37
1432	38
1445	40
1454	42
1462	41
1480	43
1503	44
1505	45
1560	47
1623	46
1640	48
1724	49
1745	50
1884	52
1914	51
1959	53
2026	54
2050	55
2118	56
2148	57
2302	59
2337	58
2495	60
2575	61
2789	62
2797	63
2963	64
3059	65
3174	66
3354	67
3769	68
3929	69
4077	70
4456	71
4974	72
5370	74
5468	73
5632	75
5717	76
6433	77
6516	78
7091	80
7354	79
7857	81
8019	82
8583	83
9213	84
9983	85
10655	86
10935	87
11793	88
12725	89
13836	90
14816	91
15773	92
16564	93
18412	94
20838	95
34518	96
52411	99
81108	97
301661	98
443798	100
14659114	101
