2094	45
2143	47
2174	43
2195	44
2221	48
2244	46
2324	50
2344	49
2351	42
2400	41
2433	52
2459	54
2469	51
2522	53
2566	40
2612	55
2674	39
2698	56
2791	57
2996	38
3004	58
3165	37
3189	59
3248	60
3424	61
3469	36
3551	35
3559	62
3562	64
3670	63
3750	65
3962	67
4034	66
4176	68
4467	69
4706	70
4914	71
5117	72
5414	73
5482	74
6026	75
6103	76
6585	77
6651	78
6928	79
7321	80
7719	81
8128	82
8653	83
8917	84
9656	85
10027	86
10496	87
11001	88
11591	89
12287	90
13133	91
13314	92
13873	93
14757	94
15852	95
22537	96
25327	99
44970	97
155012	98
225160	100
4841941	101
