723	35
826	36
890	37
942	38
1010	39
1092	44
1110	43
1124	45
1148	40
1150	41
1179	42
1209	46
1235	48
1286	47
1365	49
1415	50
1460	51
1463	52
1509	53
1519	54
1548	55
1613	56
1690	57
1896	58
1979	59
2203	60
2284	61
2376	62
2421	63
2476	64
2615	65
2815	66
2915	67
3122	68
3411	69
3736	70
3874	71
4194	72
4613	73
4725	74
5135	75
5464	76
5762	77
6209	78
6438	79
6796	80
7339	81
7692	82
8214	83
8390	84
9261	85
9783	86
10154	87
10667	88
11307	89
12103	90
12831	91
13096	92
13677	93
14434	94
15233	95
17429	99
20708	96
39426	97
113895	98
148293	100
5032641	101
