5774	50
5819	49
5836	51
5938	48
6001	53
6017	46
6051	52
6074	54
6117	47
6119	55
6193	45
6282	44
6316	43
6361	57
6371	56
6601	58
6852	59
6979	42
7082	60
7104	61
7228	62
7397	66
7478	64
7487	65
7508	67
7531	41
7577	63
7582	68
7719	69
7765	70
8104	71
8150	74
8261	76
8263	73
8297	75
8455	72
8726	78
8739	40
8976	80
9021	79
9200	81
9232	39
9286	77
9799	82
10250	83
10684	84
11341	85
11695	86
11702	38
12284	87
12843	88
13547	89
13693	37
14576	90
15539	91
15921	36
16400	92
17250	93
17278	35
18912	94
22299	95
39562	96
82587	99
106874	97
397462	98
706408	100
13996493	101
